type,name,path,extension,size_bytes,size_mb,modified,content_hash,parent_folder,folder_depth
folder,MULTIMEDIA,/MULTIMEDIA,,0,0,,,/,1
folder,APLICACIONES Y BECAS,/APLICACIONES Y BECAS,,0,0,,,/,1
folder,PROGRAMAS ACADEMICOS,/PROGRAMAS ACADEMICOS,,0,0,,,/,1
folder,BACKUP OFFSPRING,/MULTIMEDIA/BACKUP OFFSPRING,,0,0,,,/MULTIMEDIA,2
folder,30052022 Harpia Low,/MULTIMEDIA/BACKUP OFFSPRING/30052022 Harpia Low,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,260922 Maquisapa Buttress,/MULTIMEDIA/BACKUP OFFSPRING/260922 Maquisapa Buttress,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,260922 Maquisapa 2,/MULTIMEDIA/BACKUP OFFSPRING/260922 Maquisapa 2,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,24102022 Harpia Low,/MULTIMEDIA/BACKUP OFFSPRING/24102022 Harpia Low,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,230322c Harpia Wide,/MULTIMEDIA/BACKUP OFFSPRING/230322c Harpia Wide,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,210922 GP Branch,/MULTIMEDIA/BACKUP OFFSPRING/210922 GP Branch,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,200722 Maquisapa 5,/MULTIMEDIA/BACKUP OFFSPRING/200722 Maquisapa 5,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,210722 Harpia Wide,/MULTIMEDIA/BACKUP OFFSPRING/210722 Harpia Wide,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,180521j Maquisapa Buttress,/MULTIMEDIA/BACKUP OFFSPRING/180521j Maquisapa Buttress,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
folder,180521a Maquisapa Top Down,/MULTIMEDIA/BACKUP OFFSPRING/180521a Maquisapa Top Down,,0,0,,,/MULTIMEDIA/BACKUP OFFSPRING,3
